area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Mowe,2 BHK,General Lagos Estate,1255,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3400,5.0,3.0,2160.0
Super built-up  Area,18-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1541,3.0,1.0,628.5600000000001
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3596,5.0,1.0,2538.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1295,2.0,2.0,630.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1000,4.0,3.0,990.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2820,3.0,,2565.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1370,2.0,2.0,493.11
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1100,2.0,1.0,360.0
Super built-up  Area,18-Apr,Eko Atlantic,4 BHK,General Lagos Estate,4772,6.0,2.0,4590.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1370,2.0,1.0,1530.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1370,2.0,1.0,493.11
Super built-up  Area,Ready To Move,Agege,2 BHK,General Lagos Estate,1200,2.0,2.0,558.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2000,3.0,0.0,855.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3500,4.0,,2700.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,1200,4.0,3.0,2160.0
Plot  Area,Ready To Move,Mowe,4 Bedroom,General Lagos Estate,2400,5.0,2.0,2277.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1220,3.0,2.0,558.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1950,3.0,2.0,1170.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1178,2.0,3.0,657.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1286,3.0,2.0,552.96
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1160,2.0,2.0,378.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,918,2.0,2.0,495.0
Super built-up  Area,21-Dec,Ajah,3 BHK,General Lagos Estate,1563,3.0,2.0,826.5600000000001
Super built-up  Area,18-Nov,Other Lagos Areas,2 BHK,General Lagos Estate,1326,2.0,1.0,559.53
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1350,2.0,2.0,1260.0
Super built-up  Area,17-Dec,Eko Atlantic,4 BHK,General Lagos Estate,3960,5.0,3.0,3474.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1240,2.0,2.0,351.54
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1325,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,1.0,396.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,3875,3.0,2.0,7200.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1605,3.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,5600,5.0,3.0,4635.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1260,2.0,1.0,540.0
Super built-up  Area,19-Dec,Ojota,3 BHK,General Lagos Estate,1553,3.0,2.0,747.8100000000001
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1280,2.0,2.0,468.0
Super built-up  Area,Ready To Move,Eko Atlantic,3 BHK,General Lagos Estate,1550,2.0,2.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1445,2.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1550,3.0,2.0,666.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1515,2.0,1.0,728.1899999999999
Super built-up  Area,19-Mar,Other Lagos Areas,3 BHK,General Lagos Estate,1332,2.0,1.0,775.08
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1652,3.0,2.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1570,3.0,1.0,945.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,5400,4.0,3.0,6525.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,794,1.0,1.0,540.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,2.0,0.0,558.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,3600,3.0,2.0,3690.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,3.0,2.0,1575.0
Super built-up  Area,Ready To Move,Agege,4 BHK,General Lagos Estate,1650,3.0,1.0,1980.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,600,2.0,1.0,765.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2800,3.0,2.0,2250.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1750,3.0,2.0,990.0
Built-up  Area,Ready To Move,Eko Atlantic,2 BHK,General Lagos Estate,1053,2.0,1.0,432.0
Super built-up  Area,21-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1100,3.0,2.0,477.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1665,3.0,3.0,630.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,4051,4.0,3.0,3105.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,5500,5.0,1.0,13500.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1447,3.0,2.0,720.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1012,2.0,1.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1900,3.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1308,2.0,2.0,833.9399999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3250,4.0,,2070.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,1351,2.0,1.0,477.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1000,2.0,2.0,198.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,2.0,3150.0
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1140,2.0,2.0,441.99
Super built-up  Area,22-May,Other Lagos Areas,4 BHK,General Lagos Estate,2249.81 - 4112.19,4.0,0.0,2344.5
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1250,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Ikorodu,3 BHK,General Lagos Estate,1290,3.0,3.0,406.34999999999997
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1424,2.0,2.0,810.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1320,2.0,2.0,545.4
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1662,3.0,2.0,769.5
Super built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,8321,5.0,3.0,24300.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,405.0
Built-up  Area,Ready To Move,Victoria Island,3 BHK,General Lagos Estate,1975,3.0,,1890.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1295,2.0,2.0,535.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1777,3.0,2.0,900.0
Super built-up  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1900,3.0,,972.0
Super built-up  Area,17-Jul,Other Lagos Areas,3 BHK,General Lagos Estate,1576,3.0,2.0,531.9
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,3.0,369.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2100,3.0,3.0,1530.0
Super built-up  Area,18-Aug,Other Lagos Areas,1 BHK,General Lagos Estate,648,1.0,1.0,285.75
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1167,2.0,1.0,342.0
Plot  Area,Ready To Move,Other Lagos Areas,7 Bedroom,General Lagos Estate,1000,7.0,3.0,1440.0
Super built-up  Area,Ready To Move,Ojota,2 BHK,General Lagos Estate,1220,2.0,2.0,458.01
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2350,5.0,1.0,2943.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1259,2.0,1.0,606.6
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2000,4.0,2.0,738.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1800,3.0,1.0,720.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1991,3.0,2.0,1440.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1665,3.0,3.0,990.0
Built-up  Area,20-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1234,2.0,1.0,549.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1340,2.0,2.0,578.79
Super built-up  Area,Ready To Move,Gbagada,2 BHK,General Lagos Estate,1170,2.0,2.0,421.11
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,995,2.0,0.0,414.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1075,2.0,2.0,540.0
Super built-up  Area,18-Apr,Ajah,2 BHK,General Lagos Estate,1025,2.0,1.0,490.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2721,3.0,2.0,1017.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2000,3.0,2.0,891.0
Super built-up  Area,Ready To Move,Lekki,4 BHK,General Lagos Estate,2500,4.0,3.0,1395.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1325,2.0,2.0,630.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1314,2.0,3.0,613.8000000000001
Super built-up  Area,21-Feb,Other Lagos Areas,3 BHK,General Lagos Estate,2265,3.0,2.0,1224.0
Built-up  Area,Ready To Move,Other Lagos Areas,7 Bedroom,General Lagos Estate,4800,7.0,0.0,1530.0
Super built-up  Area,21-Dec,Festac,2 BHK,General Lagos Estate,1026,2.0,1.0,369.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1200,3.0,2.0,594.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2220,4.0,2.0,585.0
Super built-up  Area,18-Sep,Ebute Metta,2 BHK,General Lagos Estate,1070 - 1315,2.0,0.0,460.98
Super built-up  Area,18-Dec,Eko Atlantic,2 BHK,General Lagos Estate,1420,2.0,1.0,894.51
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1888,4.0,1.0,855.0
Super built-up  Area,18-May,Agege,2 BHK,General Lagos Estate,1300,2.0,1.0,817.83
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1216,2.0,0.0,874.4399999999999
Plot  Area,19-Dec,Other Lagos Areas,4 Bedroom,General Lagos Estate,3000,4.0,3.0,3078.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1559,3.0,2.0,567.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1290,2.0,1.0,783.0
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,2400,6.0,,2205.0
Built-up  Area,18-Jun,Lekki,1 BHK,General Lagos Estate,905,1.0,1.0,495.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1069,2.0,,495.0
Super built-up  Area,19-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,829,2.0,1.0,205.20000000000002
Built-up  Area,Ready To Move,Victoria Island,2 BHK,General Lagos Estate,1900,2.0,1.0,1800.0
Built-up  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,3040Sq. Meter,5.0,1.0,1260.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1300,3.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1115,2.0,1.0,301.05
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2409,3.0,2.0,3240.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2150,4.0,2.0,1125.0
Super built-up  Area,19-Mar,Yaba,3 BHK,General Lagos Estate,1305,2.0,1.0,621.0
Super built-up  Area,20-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1252,2.0,1.0,506.88
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,2400,5.0,,2250.0
Plot  Area,18-Sep,Lekki,2 Bedroom,General Lagos Estate,1200,2.0,1.0,415.17
Built-up  Area,Ready To Move,Victoria Island,3 BHK,General Lagos Estate,1750,3.0,1.0,1170.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,545,1.0,1.0,315.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1375,2.0,1.0,945.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1313,2.0,2.0,598.5
Plot  Area,Ready To Move,Ajah,4 Bedroom,General Lagos Estate,3640,4.0,1.0,2475.0
Super built-up  Area,20-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1693,3.0,2.0,972.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1160,2.0,1.0,375.75
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,3.0,0.0,1800.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1255,2.0,2.0,711.0
Plot  Area,Ready To Move,Ebute Metta,4 Bedroom,General Lagos Estate,1000,4.0,1.0,675.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,900,2.0,1.0,405.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1700,3.0,2.0,810.0
Carpet  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1875,3.0,1.0,1620.0
Carpet  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1700,3.0,2.0,792.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1749,3.0,2.0,1035.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1500,3.0,1.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1175,2.0,1.0,432.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1280,2.0,1.0,540.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1610,2.0,2.0,1035.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1070,2.0,1.0,414.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1200,2.0,0.0,594.0
Super built-up  Area,19-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1127,2.0,1.0,450.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1210,2.0,1.0,918.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,600,2.0,1.0,207.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,4190,4.0,3.0,3420.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1364,2.0,2.0,630.0
Super built-up  Area,Ready To Move,Lekki,4 BHK,General Lagos Estate,2268,3.0,0.0,1314.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1150,2.0,2.0,697.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1146,2.0,1.0,355.5
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1345,2.0,2.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1110,2.0,2.0,369.0
Built-up  Area,Ready To Move,Mowe,2 BHK,General Lagos Estate,750,2.0,1.0,324.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1156,2.0,2.0,445.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1247,2.0,1.0,538.1999999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1058,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,950,2.0,1.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,420,2.0,0.0,315.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,600,2.0,2.0,810.0
Super built-up  Area,21-Jun,Alimosho,3 BHK,General Lagos Estate,1520,2.0,1.0,927.0
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1215,2.0,2.0,529.74
Built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,900,1.0,1.0,270.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2350,3.0,2.0,1566.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,2.0,414.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1672,3.0,2.0,1350.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,2800,5.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1500,2.0,2.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1400,2.0,2.0,585.0
Plot  Area,18-May,Lekki,4 Bedroom,General Lagos Estate,500Sq. Yards,4.0,2.0,3402.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2700,4.0,2.0,1170.0
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,920,2.0,1.0,337.14
Plot  Area,18-Feb,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,3.0,2.0,630.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1250,3.0,2.0,1251.0
Super built-up  Area,18-Mar,Other Lagos Areas,3 BHK,General Lagos Estate,1817,4.0,,1377.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,2043,6.0,,3375.0
Super built-up  Area,Ready To Move,Surulere,2 BHK,General Lagos Estate,1140,2.0,2.0,414.0
Built-up  Area,Ready To Move,Festac,4 Bedroom,General Lagos Estate,4346,4.0,1.0,4050.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1464,2.0,2.0,504.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1468,3.0,2.0,1170.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1555,2.0,1.0,738.0
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1200,4.0,2.0,990.0
Built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1150,2.0,0.0,495.0
Super built-up  Area,19-Oct,Other Lagos Areas,2 BHK,General Lagos Estate,970,2.0,1.0,315.0
Super built-up  Area,18-May,Gbagada,4 BHK,General Lagos Estate,2500,4.0,3.0,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1166,2.0,1.0,477.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2779,3.0,1.0,2853.0
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1350,3.0,2.0,522.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,900,2.0,3.0,414.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1300,2.0,2.0,468.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1190,3.0,1.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1495,2.0,2.0,675.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1224,2.0,2.0,945.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1350,2.0,2.0,612.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,940,2.0,1.0,511.2
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,1.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1300,2.0,2.0,549.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1480,2.0,0.0,1305.0
Super built-up  Area,Ready To Move,Ojota,2 BHK,General Lagos Estate,1105,2.0,2.0,417.33
Plot  Area,17-Jun,Other Lagos Areas,3 Bedroom,General Lagos Estate,2600,3.0,2.0,1800.0
Super built-up  Area,21-Mar,Festac,3 BHK,General Lagos Estate,1517,3.0,2.0,686.6999999999999
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,3800,8.0,0.0,1800.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1615,3.0,2.0,807.75
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1500,3.0,2.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1082,3.0,1.0,454.5
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1365,2.0,2.0,657.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1000,2.0,3.0,225.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1392,2.0,1.0,882.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1086,2.0,1.0,302.93999999999994
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1586,3.0,3.0,845.46
Built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1100,2.0,1.0,540.0
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1065,2.0,1.0,276.75
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1500,2.0,1.0,1080.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1575,2.0,2.0,1080.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1975,3.0,3.0,1107.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,820,2.0,2.0,216.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1745,3.0,2.0,990.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1223,2.0,1.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1200,2.0,1.0,585.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,0.0,810.0
Super built-up  Area,19-Dec,Other Lagos Areas,1 BHK,General Lagos Estate,665,1.0,1.0,414.71999999999997
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1351,2.0,2.0,630.0
Super built-up  Area,18-Dec,Eko Atlantic,3 BHK,General Lagos Estate,1355,3.0,1.0,754.83
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,3900,3.0,2.0,2700.0
Super built-up  Area,18-Nov,Other Lagos Areas,3 BHK,General Lagos Estate,1588,3.0,1.0,679.9499999999999
Carpet  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,900,2.0,1.0,540.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,440,3.0,0.0,450.0
Built-up  Area,18-Feb,Other Lagos Areas,4 Bedroom,General Lagos Estate,3385,4.0,,2340.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1370,2.0,2.0,675.0
Plot  Area,18-Dec,Lekki,3 Bedroom,General Lagos Estate,1500,3.0,1.0,646.1999999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2280,3.0,,2565.0
Super built-up  Area,21-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1100,3.0,2.0,477.0
Built-up  Area,Ready To Move,Ojota,2 BHK,General Lagos Estate,1247,2.0,0.0,477.0
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,2000,3.0,2.0,1800.0
Super built-up  Area,18-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1020.07,2.0,1.0,615.42
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1033,2.0,2.0,288.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1460,2.0,3.0,657.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1150,2.0,2.0,475.2
Super built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,5965,5.0,,3465.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1141,2.0,1.0,414.0
Super built-up  Area,Ready To Move,Festac,4 BHK,General Lagos Estate,2806 - 3019,6.0,0.0,1129.5
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,4200,4.0,3.0,2925.0
Super built-up  Area,18-Jul,Other Lagos Areas,3 BHK,General Lagos Estate,1665,2.0,3.0,1125.0
Super built-up  Area,18-Dec,Ikorodu,2 BHK,General Lagos Estate,1295,2.0,2.0,576.0
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1230,2.0,1.0,702.0
